      # name ref Mv logRe logM* logSigma_e
     C-3-73  4 -10.9  2.673  6.580  0.436
     C-1-74  4 -10.9  2.779  6.564  0.209
     C-4-75  4 -10.9  2.610  6.572  0.554
     C-1-76  4 -10.7  2.544  6.489  0.603
     C-3-77  4 -10.6  2.717  6.471  0.238
     C-1-78  4 -10.5  2.754  6.560  0.254
     C-2-79  4 -10.5  2.779  6.477  0.122
     C-4-80  4 -10.5  2.943  6.430 -0.255
     C-5-81  4 -10.4  2.637  6.389  0.317
     C-2-82  4 -10.4  2.639  6.403  0.327
     C-2-83  4 -10.3  2.940  6.384 -0.294
     C-1-84  4 -10.3  2.650  6.337  0.239
     C-2-85  4 -10.1  2.643  6.272  0.187
     C-1-86  4 -10.1  2.617  6.244  0.213
     C-7-87  4 -10.1  2.730  6.219 -0.039
     C-5-88  4  -9.9  2.595  6.209  0.221
     C-7-89  4  -9.9  2.450  6.224  0.526
     C-6-90  4  -9.8  2.607  6.150  0.137
     C-5-91  4  -9.7  2.724  6.124 -0.123
     C-2-92  4  -9.4  2.646  6.017 -0.072
       UCD3  5 -13.4  1.953  7.971  3.268
      VUCD7  5 -13.4  1.986  7.946  3.176
      VUCD3  5 -12.6  1.272  7.602  4.260
      UCD1b  5 -12.2  1.350  7.507  4.008
      S417d  5 -11.8  1.158  7.470  4.355
     VUCD5e  5 -12.3  1.253  7.464  4.160
     VUCD1e  5 -12.3  1.053  7.450  4.546
      F-24a  5 -12.3  1.470  7.389  3.651
     VUCD4e  5 -12.3  1.342  7.386  3.903
      S999d  5 -11.1  1.281  7.369  4.009
      S928d  5 -11.6  1.338  7.286  3.810
      UCD5b  5 -12.0  1.494  7.255  3.469
     VUCD6e  5 -12.1  1.170  7.248  4.109
       F-1a  5 -12.2  1.364  7.210  3.684
      S490d  5 -11.0  0.556  7.161  5.251
       F-9a  5 -11.4  0.959  7.149  4.433
       F-5a  5 -11.8  0.699  7.137  4.941
       F-6a  5 -11.1  0.863  7.097  4.572
     99-18c  5 -11.4  1.137  7.049  3.978
       F-7a  5 -11.2  1.173  7.021  3.877
      S314d  5 -10.9  0.505  6.959  5.151
      F-12a  5 -11.5  1.013  6.919  4.095
        G1g  5 -10.9  0.477  6.857  5.105
     92-C1c  5 -10.8  1.380  6.833  3.274
     2-C23c  5 -11.7  0.519  6.820  4.984
     92-C7c  5 -11.1  0.875  6.799  4.251
      F-17a  5 -11.3  0.519  6.799  4.964
      F-11a  5 -11.5  0.556  6.756  4.845
